epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0937,3.66719,4.517,4.32298,0.00091,0.13636,0.00053,0.0002,2.97185,4.49545,4.15858,0.00016,0.00016,0.00016
2,106.938,3.55891,4.00238,4.19946,0.00098,0.14773,0.00068,0.00025,2.97179,4.49399,4.1575,0.000336634,0.000336634,0.000336634
3,158.269,3.39125,3.60096,4.11552,0.00098,0.14773,0.00066,0.00024,2.97157,4.4814,4.15672,0.000509704,0.000509704,0.000509704
4,209.106,3.33298,3.20244,4.01389,0.00098,0.14773,0.00059,0.0002,2.97236,4.44911,4.15819,0.00067921,0.00067921,0.00067921
5,259.259,3.05676,3.10543,3.80042,0.00098,0.14773,0.00059,0.0002,2.96774,4.3432,4.15945,0.000845152,0.000845152,0.000845152
6,308.928,3.05535,2.79441,3.53697,0.00098,0.14773,0.00058,0.00019,2.96948,4.24808,4.17502,0.00100753,0.00100753,0.00100753
7,359.591,2.9241,2.85714,3.44164,0.00015,0.02273,8e-05,1e-05,2.96737,4.16768,4.19732,0.00116634,0.00116634,0.00116634
8,411.84,2.81023,2.72071,3.27049,0.00021,0.01136,0.00011,2e-05,2.9164,4.18792,4.20376,0.00132159,0.00132159,0.00132159
9,464.026,2.90335,2.47078,3.20195,0.00021,0.01136,0.00011,2e-05,2.81027,4.22418,4.11234,0.00147328,0.00147328,0.00147328
10,511.808,2.76397,2.37376,3.05011,0.00021,0.01136,0.00011,2e-05,2.72063,4.28696,3.97972,0.0016214,0.0016214,0.0016214
11,560.315,2.7701,2.50413,3.10201,0.00023,0.01136,0.00012,8e-05,2.67921,4.19935,3.79795,0.00176596,0.00176596,0.00176596
12,608.806,2.60555,2.37854,2.95709,0.00346,0.18182,0.00204,0.00061,2.71541,4.05183,3.62202,0.0017822,0.0017822,0.0017822
13,656.813,2.78808,2.37221,3.08653,0.01317,0.70455,0.15436,0.03768,2.47728,3.3585,3.28837,0.0017624,0.0017624,0.0017624
14,705.244,2.65018,2.18122,2.96573,0.37786,0.43182,0.33511,0.10397,2.39703,2.29595,2.87372,0.0017426,0.0017426,0.0017426
15,754.048,2.7083,2.26301,2.92869,0.55027,0.51136,0.51091,0.16761,2.34964,2.48579,2.85099,0.0017228,0.0017228,0.0017228
16,804.133,2.73311,2.27518,2.92381,0.50685,0.56818,0.57419,0.20659,2.19483,2.09247,2.72498,0.001703,0.001703,0.001703
17,854.588,2.59655,2.11091,2.85944,0.40831,0.61364,0.42348,0.18182,2.25788,2.00922,2.71545,0.0016832,0.0016832,0.0016832
18,902.981,2.48879,2.09688,2.77076,0.51813,0.53409,0.49944,0.1922,2.30845,2.26243,2.6964,0.0016634,0.0016634,0.0016634
19,951.043,2.61228,2.1318,2.85118,0.54903,0.56722,0.54879,0.20007,2.29599,2.0171,2.70109,0.0016436,0.0016436,0.0016436
20,999.5,2.53934,2.03438,2.75503,0.48036,0.60227,0.49081,0.16361,2.36619,1.88287,2.7215,0.0016238,0.0016238,0.0016238
21,1049.72,2.45937,1.95779,2.74338,0.40227,0.51241,0.41182,0.16101,2.31514,1.9047,2.72475,0.001604,0.001604,0.001604
